ID;Travel_Date;Traveler;Home_Office;Origin_Airport_Code;Destination_Airport_Code;City_Pair_Names;Carrier_Code;Carrier_Name;Cabin_Class;Advance_Purchase_Group;International_Domestic;Customer_related_Trip;Opportunity_ID;Opportunity_Size ID;Opportunity_Size;Carrier_Alliance;Mileage;Ticket_Amount;Lost_over_Low_Fare_Amount;Carbon_Footprint;Count
43077;25/03/2017;E116958;SYD;MEL;SIN;Melbourne - Singapore;Singapore Airlines;Singapore Airlines;Y;>20 days;International;Yes;OPP0476743;O2;0 - 50k;StarAlliance;3752;889,49;0;1460,94;1
52107;29/03/2017;E230769;SFO;DEN;LGA;Denver - New York;United;United;C;7-13 days;Domestic;Yes;OPP0486884;O2;0 - 50k;StarAlliance;1618;1019,28;0;629,85;1
46923;31/03/2017;E068256;PVG;AKL;PVG;Auckland - Shanghai;Air New Zealand;Air New Zealand;Y;>20 days;International;Yes;OPP0896472;O3;1m - 10m;StarAlliance;5827;2211,11;0;2268,63;1
53724;30/03/2017;E059116;SYD;MEL;AKL;Melbourne - Auckland;Qantas Airways;Qantas Airways;Y;2-6 days;International;Yes;OPP0942009;O4;50k - 250k;OneWorld;1640;590,22;0;638,43;1
52796;30/03/2017;E276948;SFO;SLC;SEA;Salt Lake City - Seattle;Delta;Delta;Y;7-13 days;Domestic;Yes;OPP0962328;O1;250k - 1m;SkyTeam;688;430,33;0;295,41;1
51764;27/03/2017;E021020;LHR;LHR;JNB;London - Johannesburg;British Airways;British Airways;C;7-13 days;International;Yes;OPP1843126;O4;50k - 250k;OneWorld;5650;6029,15;0;2199,6;1
48858;19/03/2017;E065013;PHL;CLT;FRA;Charlotte - Frankfurt;American Airlines;American Airlines;Y;7-13 days;International;Yes;OPP1865849;O3;1m - 10m;OneWorld;4391;1564,22;0;1709,37;1
48858;19/03/2017;E065013;PHL;PHX;CLT;Phoenix - Charlotte;American Airlines;American Airlines;Y;7-13 days;International;Yes;OPP1865849;O3;1m - 10m;OneWorld;1771;1564,22;0;689,52;1
50682;31/03/2017;E122861;LHR;CPH;MAN;Copenhagen - Manchester;SAS;SAS;Y;7-13 days;International;Yes;OPP2008468;O2;0 - 50k;StarAlliance;618;823,16;0;265,31;1
50682;29/03/2017;E122861;LHR;MAN;CPH;Manchester - Copenhagen;SAS;SAS;Y;7-13 days;International;Yes;OPP2008468;O2;0 - 50k;StarAlliance;618;823,16;0;265,31;1
